PO Number,Vendor,Ship Date,PO Date,Status,Shipping Carrier,Shipping Method,Shipping Price,Discount,Tax,Tracking Number,Payment Method,Payment Due By,PO Note,Packer Note,Sku,Vendor Sku,Quantity,Sell Ahead,Price
PO437,SJA Fashion Ltd - CN (Summa),,,pending,,,0,0,0,,,,,,WD-000026-252-93,WD-000026-252-93,20,0,9
PO429,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-025-98,WD-000539-025-98,20,0,19.9
PO429,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-025-97,WD-000539-025-97,45,0,19.9
PO429,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-025-96,WD-000539-025-96,60,0,19.9
PO429,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-025-95,WD-000539-025-95,45,0,19.9
PO429,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-025-94,WD-000539-025-94,20,0,19.9
PO429,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-025-93,WD-000539-025-93,10,0,19.9
PO430,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-242-98,WD-000539-242-98,20,0,19.9
PO430,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-242-97,WD-000539-242-97,45,0,19.9
PO430,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-242-96,WD-000539-242-96,60,0,19.9
PO430,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-242-95,WD-000539-242-95,45,0,19.9
PO430,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-242-94,WD-000539-242-94,20,0,19.9
PO430,"Dongguan Wenxuan clothing Co.,Ltd (Michael)",,,pending,,,0,0,0,,,,,,WD-000539-242-93,WD-000539-242-93,10,0,19.9
