PO NUMBER,PRODUCT SKU,PRODUCT TITLE,SIZE,SUPPLIER,VARIANT SKU,QUANTITY ORDERED,FACTORY COST PRICE,"ORDER SENT
(DATE)",ORIGINAL EX-FACTORY,CURRENT DELIVERY
PO472,WD-000533-196,ATHENA DRAPE MAXI SKIRT | BABY PINK,L,SANDRA,WD-000533-196-94,60,13.8,29/04/2026,10/06/2026,21/06/2026
PO472,WD-000533-196,ATHENA DRAPE MAXI SKIRT | BABY PINK,XL,SANDRA,WD-000533-196-93,40,13.8,29/04/2026,10/06/2026,21/06/2026
PO473,WD-000532-196,ATHENA DRAPE TOP | BABY PINK,XXS,SANDRA,WD-000532-196-98,20,8.5,29/04/2026,10/06/2026,21/06/2026
PO473,WD-000532-196,ATHENA DRAPE TOP | BABY PINK,XS,SANDRA,WD-000532-196-97,30,8.5,29/04/2026,10/06/2026,21/06/2026
PO473,WD-000532-196,ATHENA DRAPE TOP | BABY PINK,S,SANDRA,WD-000532-196-96,70,8.5,29/04/2026,10/06/2026,21/06/2026
PO473,WD-000532-196,ATHENA DRAPE TOP | BABY PINK,M,SANDRA,WD-000532-196-95,50,8.5,29/04/2026,10/06/2026,21/06/2026
PO473,WD-000532-196,ATHENA DRAPE TOP | BABY PINK,L,SANDRA,WD-000532-196-94,20,8.5,29/04/2026,10/06/2026,21/06/2026
PO473,WD-000532-196,ATHENA DRAPE TOP | BABY PINK,XL,SANDRA,WD-000532-196-93,10,8.5,29/04/2026,10/06/2026,21/06/2026
PO446,WD-000761-006,BELLA CREW NECK RACER JERSEY BODYSUIT | WHITE,XXS,SANDRA,WD-000761-006-98,15,8,24/04/2026,28/05/2026,21/06/2026
PO446,WD-000761-006,BELLA CREW NECK RACER JERSEY BODYSUIT | WHITE,XS,SANDRA,WD-000761-006-97,35,8,24/04/2026,28/05/2026,21/06/2026
PO446,WD-000761-006,BELLA CREW NECK RACER JERSEY BODYSUIT | WHITE,S,SANDRA,WD-000761-006-96,55,8,24/04/2026,28/05/2026,21/06/2026
PO446,WD-000761-006,BELLA CREW NECK RACER JERSEY BODYSUIT | WHITE,M,SANDRA,WD-000761-006-95,45,8,24/04/2026,28/05/2026,21/06/2026
PO446,WD-000761-006,BELLA CREW NECK RACER JERSEY BODYSUIT | WHITE,L,SANDRA,WD-000761-006-94,30,8,24/04/2026,28/05/2026,21/06/2026
PO446,WD-000761-006,BELLA CREW NECK RACER JERSEY BODYSUIT | WHITE,XL,SANDRA,WD-000761-006-93,20,8,24/04/2026,28/05/2026,21/06/2026
PO447,WD-000546-006,BELLA HIGH WAISTED FLARED TROUSERS WITH WRAP SASH | WHITE,XXS,SANDRA,WD-000546-006-98,10,13.5,24/04/2026,28/05/2026,21/06/2026
PO447,WD-000546-006,BELLA HIGH WAISTED FLARED TROUSERS WITH WRAP SASH | WHITE,XS,SANDRA,WD-000546-006-97,20,13.5,24/04/2026,28/05/2026,21/06/2026
PO447,WD-000546-006,BELLA HIGH WAISTED FLARED TROUSERS WITH WRAP SASH | WHITE,S,SANDRA,WD-000546-006-96,25,13.5,24/04/2026,28/05/2026,21/06/2026
PO447,WD-000546-006,BELLA HIGH WAISTED FLARED TROUSERS WITH WRAP SASH | WHITE,M,SANDRA,WD-000546-006-95,20,13.5,24/04/2026,28/05/2026,21/06/2026
PO447,WD-000546-006,BELLA HIGH WAISTED FLARED TROUSERS WITH WRAP SASH | WHITE,L,SANDRA,WD-000546-006-94,15,13.5,24/04/2026,28/05/2026,21/06/2026
PO447,WD-000546-006,BELLA HIGH WAISTED FLARED TROUSERS WITH WRAP SASH | WHITE,XL,SANDRA,WD-000546-006-93,10,13.5,24/04/2026,28/05/2026,21/06/2026
PO448,WD-000545-006,BELLA HIGH WAISTED MAXI SKIRT WITH WRAP SASH | WHITE,XXS,SANDRA,WD-000545-006-98,10,13.5,24/04/2026,28/05/2026,21/06/2026
PO448,WD-000545-006,BELLA HIGH WAISTED MAXI SKIRT WITH WRAP SASH | WHITE,XS,SANDRA,WD-000545-006-97,20,13.5,24/04/2026,28/05/2026,21/06/2026
PO448,WD-000545-006,BELLA HIGH WAISTED MAXI SKIRT WITH WRAP SASH | WHITE,S,SANDRA,WD-000545-006-96,25,13.5,24/04/2026,28/05/2026,21/06/2026
PO448,WD-000545-006,BELLA HIGH WAISTED MAXI SKIRT WITH WRAP SASH | WHITE,M,SANDRA,WD-000545-006-95,20,13.5,24/04/2026,28/05/2026,21/06/2026
PO448,WD-000545-006,BELLA HIGH WAISTED MAXI SKIRT WITH WRAP SASH | WHITE,L,SANDRA,WD-000545-006-94,15,13.5,24/04/2026,28/05/2026,21/06/2026
PO448,WD-000545-006,BELLA HIGH WAISTED MAXI SKIRT WITH WRAP SASH | WHITE,XL,SANDRA,WD-000545-006-93,10,13.5,24/04/2026,28/05/2026,21/06/2026
PO434,WD-000025-252,FRANKIE LONG SLEEVE ROUND NECK TOP | PINK & LEMON,XS,SUMMA,WD-000025-252-97,20,6.95,21/04/2026,05/06/2026,21/06/2026
PO434,WD-000025-252,FRANKIE LONG SLEEVE ROUND NECK TOP | PINK & LEMON,S,SUMMA,WD-000025-252-96,50,6.95,21/04/2026,05/06/2026,21/06/2026
PO434,WD-000025-252,FRANKIE LONG SLEEVE ROUND NECK TOP | PINK & LEMON,M,SUMMA,WD-000025-252-95,45,6.95,21/04/2026,05/06/2026,21/06/2026
PO434,WD-000025-252,FRANKIE LONG SLEEVE ROUND NECK TOP | PINK & LEMON,L,SUMMA,WD-000025-252-94,20,6.95,21/04/2026,05/06/2026,21/06/2026
PO434,WD-000025-252,FRANKIE LONG SLEEVE ROUND NECK TOP | PINK & LEMON,XL,SUMMA,WD-000025-252-93,15,6.95,21/04/2026,05/06/2026,21/06/2026
PO435,WD-000512-252,FRANKIE SHORT SLEEVE POLO TOP | PINK & LEMON,XS,SUMMA,WD-000512-252-97,45,7.35,21/04/2026,05/06/2026,21/06/2026
PO435,WD-000512-252,FRANKIE SHORT SLEEVE POLO TOP | PINK & LEMON,S,SUMMA,WD-000512-252-96,95,7.35,21/04/2026,05/06/2026,21/06/2026
PO435,WD-000512-252,FRANKIE SHORT SLEEVE POLO TOP | PINK & LEMON,M,SUMMA,WD-000512-252-95,70,7.35,21/04/2026,05/06/2026,21/06/2026
PO435,WD-000512-252,FRANKIE SHORT SLEEVE POLO TOP | PINK & LEMON,L,SUMMA,WD-000512-252-94,20,7.35,21/04/2026,05/06/2026,21/06/2026
PO435,WD-000512-252,FRANKIE SHORT SLEEVE POLO TOP | PINK & LEMON,XL,SUMMA,WD-000512-252-93,20,7.35,21/04/2026,05/06/2026,21/06/2026
PO436,WD-000513-252,FRANKIE SHORTS | PINK & LEMON,XS,SUMMA,WD-000513-252-97,35,6.3,21/04/2026,05/06/2026,21/06/2026
PO436,WD-000513-252,FRANKIE SHORTS | PINK & LEMON,S,SUMMA,WD-000513-252-96,55,6.3,21/04/2026,05/06/2026,21/06/2026
PO436,WD-000513-252,FRANKIE SHORTS | PINK & LEMON,M,SUMMA,WD-000513-252-95,40,6.3,21/04/2026,05/06/2026,21/06/2026
PO436,WD-000513-252,FRANKIE SHORTS | PINK & LEMON,L,SUMMA,WD-000513-252-94,10,6.3,21/04/2026,05/06/2026,21/06/2026
PO436,WD-000513-252,FRANKIE SHORTS | PINK & LEMON,XL,SUMMA,WD-000513-252-93,10,6.3,21/04/2026,05/06/2026,21/06/2026
PO437,WD-000026-252,FRANKIE STRAIGHT LEG TROUSERS | PINK & LEMON,XS,SUMMA,WD-000026-252-97,40,9,21/04/2026,05/06/2026,21/06/2026
PO437,WD-000026-252,FRANKIE STRAIGHT LEG TROUSERS | PINK & LEMON,S,SUMMA,WD-000026-252-96,75,9,21/04/2026,05/06/2026,21/06/2026
PO437,WD-000026-252,FRANKIE STRAIGHT LEG TROUSERS | PINK & LEMON,M,SUMMA,WD-000026-252-95,80,9,21/04/2026,05/06/2026,21/06/2026
PO437,WD-000026-252,FRANKIE STRAIGHT LEG TROUSERS | PINK & LEMON,L,SUMMA,WD-000026-252-94,35,9,21/04/2026,05/06/2026,21/06/2026
PO437,WD-000026-252,FRANKIE STRAIGHT LEG TROUSERS | PINK & LEMON,XL,SUMMA,WD-000026-252-93,20,9,21/04/2026,05/06/2026,21/06/2026
PO429,WD-000539-025,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | CHOCOLATE,XXS,MICHAEL,WD-000539-025-98,20,19.9,31/03/2026,16/06/2026,21/06/2026
PO429,WD-000539-025,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | CHOCOLATE,XS,MICHAEL,WD-000539-025-97,45,19.9,31/03/2026,16/06/2026,21/06/2026
PO429,WD-000539-025,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | CHOCOLATE,S,MICHAEL,WD-000539-025-96,60,19.9,31/03/2026,16/06/2026,21/06/2026
PO429,WD-000539-025,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | CHOCOLATE,M,MICHAEL,WD-000539-025-95,45,19.9,31/03/2026,16/06/2026,21/06/2026
PO429,WD-000539-025,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | CHOCOLATE,L,MICHAEL,WD-000539-025-94,20,19.9,31/03/2026,16/06/2026,21/06/2026
PO429,WD-000539-025,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | CHOCOLATE,XL,MICHAEL,WD-000539-025-93,10,19.9,31/03/2026,16/06/2026,21/06/2026
PO430,WD-000539-242,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | GOLD,XXS,MICHAEL,WD-000539-242-98,20,19.9,31/03/2026,16/06/2026,21/06/2026
PO430,WD-000539-242,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | GOLD,XS,MICHAEL,WD-000539-242-97,45,19.9,31/03/2026,16/06/2026,21/06/2026
PO430,WD-000539-242,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | GOLD,S,MICHAEL,WD-000539-242-96,60,19.9,31/03/2026,16/06/2026,21/06/2026
PO430,WD-000539-242,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | GOLD,M,MICHAEL,WD-000539-242-95,45,19.9,31/03/2026,16/06/2026,21/06/2026
PO430,WD-000539-242,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | GOLD,L,MICHAEL,WD-000539-242-94,20,19.9,31/03/2026,16/06/2026,21/06/2026
PO430,WD-000539-242,ZARA CROCHET KNIT KEYHOLE MAXI DRESS | GOLD,XL,MICHAEL,WD-000539-242-93,10,19.9,31/03/2026,16/06/2026,21/06/2026
